"","pert","PCID","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","jlf_tau"
"1","BRD-K95606637","3380841","A549","trt_cp","up",0.54931702161903,1.9626829989744e-05,0.000131690733657776,1.7978806202213,1.30538755744709,47,69,NA,99.974395336012
"2","triacsin-c","73707378","A549","trt_cp","up",0.548850263309109,1.9626829989744e-05,0.000131690733657776,1.79635294915576,0.979882411443318,47,69,"ACSL1",99.9438666981801
"3","pitavastatin","11251522","A549","trt_cp","down",-0.599066610312554,1.74509064875551e-05,0.000131690733657776,-1.76427576046712,-1.38931084791094,47,69,"APOA1; CYP2C8; HMGCR",-99.5706294808162
"4","BRD-A32214171","4124546","A549","trt_cp","up",0.535017777810875,2.02360885703569e-05,0.000131690733657776,1.75108008006922,-0.85634051605015,47,69,NA,99.9704561569369
"5","MW-A1-12","701939","A549","trt_cp","up",0.533716305718272,2.02796070404007e-05,0.000131690733657776,1.74682044244475,0.8825014198273,47,69,NA,99.9487906720239
"6","nutlin-3",NA,"A549","trt_cp","down",-0.591213257197181,1.77990542479053e-05,0.000131690733657776,-1.74114731314369,-0.656322045131892,47,69,NA,-99.4032143701253
"7","AT-7867",NA,"A549","trt_cp","down",-0.588306604193674,1.79296096580367e-05,0.000131690733657776,-1.7325871007234,-1.15098350213155,47,69,NA,-99.3648073741432
"8","BRD-A18763547",NA,"A549","trt_cp","down",-0.587783587133874,1.79296096580367e-05,0.000131690733657776,-1.73104679401121,-1.32147400980606,47,69,NA,-99.0555818167494
"9","BRD-K00540336","54666615","A549","trt_cp","down",-0.586074068925991,1.80166465981242e-05,0.000131690733657776,-1.72601219270924,-1.16699383925223,47,69,NA,-99.0792168911999
"10","CEP-37440",NA,"A549","trt_cp","down",-0.585584016232492,1.80166465981242e-05,0.000131690733657776,-1.72456896740907,-1.37015196574504,47,69,NA,-99.0880800441188
"11","RG-7388",NA,"A549","trt_cp","down",-0.583173723679991,1.81472020082555e-05,0.000131690733657776,-1.71747055689376,-0.0461083504513022,47,69,NA,-98.9964941306232
"12","BRD-K18726304","53338848","A549","trt_cp","down",-0.580588736823133,1.82342389483431e-05,0.000131690733657776,-1.70985766448051,-1.5334989909791,47,69,NA,-99.245647207122
"13","CGK-733","6605258","A549","trt_cp","down",-0.580535955688064,1.82342389483431e-05,0.000131690733657776,-1.70970222187094,-0.697957166005361,47,69,"ATM; ATR",-98.611439376034
"14","naproxol","3032818","A549","trt_cp","down",-0.578893031530241,1.83212758884307e-05,0.000131690733657776,-1.70486374278024,-0.641927024651066,47,69,NA,-99.0536122272119
"15","rociletinib",NA,"A549","trt_cp","down",-0.578798860623595,1.83212758884307e-05,0.000131690733657776,-1.70458640559423,-1.38429326244213,47,69,NA,-98.6961317261483
"16","TPCA-1","9903786","A549","trt_cp","down",-0.577613751342229,1.83647943584744e-05,0.000131690733657776,-1.70109621010908,-1.15923416422183,47,69,"CDC42BPB; EPHB1; IKBKB; MAP3K9; NTRK3; NUAK1; RET; TNK2; TYK2",-98.9383912392657
"17","latrunculin-b","6436219","A549","trt_cp","down",-0.57643444789134,1.8451831298562e-05,0.000131690733657776,-1.69762311303302,-1.41228642598258,47,69,"ACTA1; MKL1; SPIRE2",-98.8340029937761
"18","clomifene","2800","A549","trt_cp","down",-0.576184905985651,1.8451831298562e-05,0.000131690733657776,-1.69688820187649,-0.988718242295929,47,69,"AR; ESR1; SHBG",-98.9433152131096
"19","IKK-16","9549298","A549","trt_cp","down",-0.574766471636877,1.84953497686058e-05,0.000131690733657776,-1.69271085448927,-1.38318252837386,47,69,"IKBKB",-99.2712518711101
"20","BMS-754807","24785538","A549","trt_cp","down",-0.572583986680307,1.85823867086933e-05,0.000131690733657776,-1.68628334669602,-1.44106052851553,47,69,"AKT1; IGF1R",-98.6823445993855
"21","BRD-K54263226",NA,"A549","trt_cp","down",-0.571307327830346,1.86694236487809e-05,0.000131690733657776,-1.68252353397303,-1.07197892773845,47,69,NA,-98.8891515008272
"22","BRD-K41483742",NA,"A549","trt_cp","up",0.513286531889183,2.119349491132e-05,0.000131690733657776,1.67995505688913,1.12556988811571,47,69,NA,99.7597100764201
"23","mepacrine","237","A549","trt_cp","down",-0.569873680289796,1.87129421188247e-05,0.000131690733657776,-1.6783013831115,-1.28988594465095,47,69,"AKT1; MTOR; NFKB1; PLA2G1B; PLA2G2A; PLA2G2D; PLA2G4A; PLA2G6; PLCL1; TP53",-99.3155676357047
"24","BRD-K23841751","2815616","A549","trt_cp","down",-0.568831555754753,1.87564605888684e-05,0.000131690733657776,-1.67523228357413,-0.895627237507928,47,69,NA,-98.8615772473017
"25","BMS-509744","23646672","A549","trt_cp","down",-0.567071302937125,1.8843497528956e-05,0.000131690733657776,-1.67004826676369,-1.30534231773229,47,69,"ITK",-98.8497597100764
