"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","tfl_drugs","deseq2_drugs","limma_drugs"
"GO:0006954","GO:0006954",3,"GO:0006954",1,410,410,"inflammatory response","inflammatory response",TRUE,FALSE,FALSE
"GO:0050896","GO:0050896",3,"GO:0006954",0.51,67,67,"response to stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0001568","GO:0001568",4,"GO:0001525",0.674,41,41,"blood vessel development","angiogenesis",TRUE,FALSE,TRUE
"GO:0001944","GO:0001944",4,"GO:0001525",0.614,15,15,"vasculature development","angiogenesis",TRUE,FALSE,TRUE
"GO:0048514","GO:0048514",4,"GO:0001525",0.868,19,19,"blood vessel morphogenesis","angiogenesis",TRUE,FALSE,TRUE
"GO:0050727","GO:0050727",3,"GO:0006954",0.523,91,91,"regulation of inflammatory response","inflammatory response",TRUE,FALSE,FALSE
"GO:0006952","GO:0006952",3,"GO:0006954",0.812,73,73,"defense response","inflammatory response",TRUE,FALSE,FALSE
"GO:0010033","GO:0010033",8,"GO:0034097",0.812,25,25,"response to organic substance","response to cytokine",TRUE,FALSE,TRUE
"GO:0072359","GO:0072359",4,"GO:0001525",0.554,8,8,"circulatory system development","angiogenesis",TRUE,FALSE,TRUE
"GO:0001525","GO:0001525",4,"GO:0001525",1,240,240,"angiogenesis","angiogenesis",TRUE,FALSE,TRUE
"GO:0032879","GO:0032879",1,"GO:0007165",0.31,1,1,"regulation of localization","signal transduction",TRUE,FALSE,TRUE
"GO:0007155","GO:0007155",2,"GO:0007155",1,505,505,"cell adhesion","cell adhesion",TRUE,FALSE,TRUE
"GO:0006629","GO:0006629",6,"GO:0006629",1,145,145,"lipid metabolic process","lipid metabolic process",TRUE,FALSE,FALSE
"GO:1901700","GO:1901700",8,"GO:0034097",0.491,0,0,"response to oxygen-containing compound","response to cytokine",TRUE,FALSE,TRUE
"GO:0035239","GO:0035239",4,"GO:0001525",0.668,1,1,"tube morphogenesis","angiogenesis",TRUE,FALSE,TRUE
"GO:0031347","GO:0031347",3,"GO:0006954",0.484,0,0,"regulation of defense response","inflammatory response",TRUE,FALSE,FALSE
"GO:0035295","GO:0035295",4,"GO:0001525",0.546,2,2,"tube development","angiogenesis",TRUE,FALSE,TRUE
"GO:0006950","GO:0006950",3,"GO:0006954",0.657,0,0,"response to stress","inflammatory response",TRUE,FALSE,FALSE
"GO:0065007","GO:0065007",1,"GO:0007165",0.316,0,0,"biological regulation","signal transduction",TRUE,FALSE,TRUE
"GO:0007229","GO:0007229",1,"GO:0007165",0.847,115,115,"integrin-mediated signaling pathway","signal transduction",TRUE,FALSE,FALSE
"GO:0006909","GO:0006909",2,"GO:0007155",0.311,70,70,"phagocytosis","cell adhesion",TRUE,FALSE,FALSE
"GO:0051716","GO:0051716",8,"GO:0034097",0.313,0,0,"cellular response to stimulus","response to cytokine",TRUE,FALSE,TRUE
"GO:0071310","GO:0071310",8,"GO:0034097",0.501,13,13,"cellular response to organic substance","response to cytokine",TRUE,FALSE,TRUE
"GO:0009888","GO:0009888",4,"GO:0001525",0.296,35,35,"tissue development","angiogenesis",TRUE,FALSE,FALSE
"GO:0051179","GO:0051179",2,"GO:0007155",0.259,0,0,"localization","cell adhesion",TRUE,FALSE,TRUE
"GO:0050794","GO:0050794",1,"GO:0007165",0.63,2,2,"regulation of cellular process","signal transduction",TRUE,FALSE,TRUE
"GO:0048646","GO:0048646",4,"GO:0001525",0.575,8,8,"anatomical structure formation involved in morphogenesis","angiogenesis",TRUE,FALSE,TRUE
"GO:0065009","GO:0065009",1,"GO:0007165",0.238,0,0,"regulation of molecular function","signal transduction",TRUE,FALSE,FALSE
"GO:0048518","GO:0048518",1,"GO:0007165",0.349,0,0,"positive regulation of biological process","signal transduction",TRUE,FALSE,TRUE
"GO:0002376","GO:0002376",6,"GO:0006629",0.211,44,44,"immune system process","lipid metabolic process",TRUE,FALSE,FALSE
"GO:0007165","GO:0007165",1,"GO:0007165",1,1096,1096,"signal transduction","signal transduction",TRUE,FALSE,FALSE
"GO:0009605","GO:0009605",3,"GO:0006954",0.357,0,0,"response to external stimulus","inflammatory response",TRUE,FALSE,TRUE
"GO:0070887","GO:0070887",8,"GO:0034097",0.401,0,0,"cellular response to chemical stimulus","response to cytokine",TRUE,FALSE,TRUE
"GO:0032101","GO:0032101",3,"GO:0006954",0.207,0,0,"regulation of response to external stimulus","inflammatory response",TRUE,FALSE,FALSE
"GO:0031589","GO:0031589",2,"GO:0007155",0.831,19,19,"cell-substrate adhesion","cell adhesion",TRUE,FALSE,FALSE
"GO:0050790","GO:0050790",1,"GO:0007165",0.188,429,429,"regulation of catalytic activity","signal transduction",TRUE,FALSE,FALSE
"GO:0048522","GO:0048522",1,"GO:0007165",0.507,0,0,"positive regulation of cellular process","signal transduction",TRUE,FALSE,TRUE
"GO:0050789","GO:0050789",1,"GO:0007165",0.427,0,0,"regulation of biological process","signal transduction",TRUE,FALSE,TRUE
"GO:0016477","GO:0016477",2,"GO:0007155",0.265,266,266,"cell migration","cell adhesion",TRUE,FALSE,TRUE
"GO:0032501","GO:0032501",7,"GO:0008217",0.38,0,0,"multicellular organismal process","regulation of blood pressure",TRUE,FALSE,TRUE
"GO:0022603","GO:0022603",4,"GO:0001525",0.33,0,0,"regulation of anatomical structure morphogenesis","angiogenesis",TRUE,FALSE,FALSE
